tick,bouche
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
1.0,0.6544470414353758
2.0,0.650279834451729
3.0,0.6314736249809916
4.0,0.6268945994955247
5.0,0.6056611291557906
6.0,0.5959204109434366
7.0,0.6038434531938648
8.0,0.6052174944282578
9.0,0.5864098350743149
10.0,0.58474907865446
11.0,0.5759196021275088
12.0,0.5745723071842839
13.0,0.5744462803553828
14.0,0.579535338722621
15.0,0.5833818395186805
16.0,0.5727535811231171
17.0,0.5716614319416986
18.0,0.5664568759443999
19.0,0.5710796758478984
20.0,0.5693796193857085
21.0,0.570525108503111
22.0,0.5540896251173242
23.0,0.5335273548019213
24.0,0.5420818590506981
25.0,0.5404803851285577
26.0,0.5464386995823023
27.0,0.5517970247301348
28.0,0.5094972062858674
29.0,0.5193742564307976
30.0,0.5479082477748428
31.0,0.5393999531587367
32.0,0.5356748574977513
33.0,0.5651596420515521
34.0,0.5770649083595304
35.0,0.5787306925227936
36.0,0.577313932742315
37.0,0.5608288299216644
38.0,0.5676879556753613
39.0,0.5701541847139849
40.0,0.5720861587194626
41.0,0.5587903181275504
42.0,0.5465555484374494
43.0,0.5542159831875464
44.0,0.5570735666116307
45.0,0.5706541945490168
46.0,0.5573075967727137
47.0,0.5375786259636474
48.0,0.5404941734386252
49.0,0.5439627761652249
50.0,0.5612795493933298
51.0,0.5719630756873753
52.0,0.5666266035713007
53.0,0.5648847064862693
54.0,0.556714075072056
55.0,0.5610067695204249
56.0,0.5639198167163403
57.0,0.5712475786765278
58.0,0.5751548034014305
59.0,0.5695176555142001
60.0,0.570996685593204
61.0,0.5766524939469085
62.0,0.5747870060653758
63.0,0.5734549446256694
64.0,0.5726553288072592
65.0,0.5709385481218886
66.0,0.5710934310671425
67.0,0.5781935691856233
68.0,0.5810282316572024
69.0,0.5796245766318817
70.0,0.5772887073758415
71.0,0.5740320388471531
72.0,0.5666646478666575
73.0,0.563479317465944
74.0,0.5667857404463218
75.0,0.5703052786755596
76.0,0.5654426510856034
77.0,0.5684262624481977
78.0,0.5731831538838663
79.0,0.572607544049817
80.0,0.5727745817054106
81.0,0.5677135385700303
82.0,0.5605225889604722
83.0,0.5513469630730158
84.0,0.5402719890820961
85.0,0.5136554218058752
86.0,0.515586398960126
87.0,0.518547801902414
88.0,0.5188589914498897
89.0,0.5192178711426395
90.0,0.5211410884881325
91.0,0.524276411208155
92.0,0.5271992367175258
93.0,0.5366042125976297
94.0,0.5370179667348159
95.0,0.5368088755231324
96.0,0.54258734786485
97.0,0.5420988395425504
98.0,0.5390178216217316
99.0,0.5426375994992593
100.0,0.5401687861802871
101.0,0.5457346454083704
102.0,0.5473054810721998
103.0,0.5491389337299447
104.0,0.5515984840979675
105.0,0.5498241916642487
106.0,0.5453399176468973
107.0,0.5484721392749422
108.0,0.5496519877786288
109.0,0.5500650517407603
110.0,0.5495431816971807
111.0,0.548826209911896
112.0,0.5491572977201568
113.0,0.5589304340369856
114.0,0.5626229320634042
115.0,0.5640396833260047
116.0,0.5724859105150683
117.0,0.5719736898320971
118.0,0.572334676727751
119.0,0.5725818451473602
120.0,0.5945874093866006
121.0,0.6094571614122596
122.0,0.6376852238370347
123.0,0.6181144381367875
124.0,0.6197035783435508
125.0,0.5927874563235872
126.0,0.565750681447736
127.0,0.5755003223417701
128.0,0.5805517308954077
129.0,0.5722236944925133
130.0,0.5729517754352632
131.0,0.5813182157737932
132.0,0.5923646425055696
133.0,0.603961056103195
134.0,0.5923897898360264
135.0,0.5890186461285611
136.0,0.5828249833209133
137.0,0.5903298255679584
138.0,0.5924382018441093
139.0,0.5927441337591336
140.0,0.5929977450471234
141.0,0.5908310923513954
142.0,0.5940761996649461
143.0,0.6066313690896061
144.0,0.6087300911500791
145.0,0.5818785617843903
146.0,0.5758378696215466
147.0,0.5652018466093561
148.0,0.5594384490428973
149.0,0.5576672059990659
150.0,0.5642057845297447
151.0,0.5796974307955275
152.0,0.5928854718679799
153.0,0.5837661456051279
154.0,0.5727515511160357
155.0,0.5765861598614817
156.0,0.5710863297954136
157.0,0.5816977471468396
158.0,0.5673387245560649
159.0,0.5873454685185772
160.0,0.5820875730664891
161.0,0.5826549342976577
162.0,0.572087957261254
163.0,0.5692200744521407
164.0,0.576999871075094
165.0,0.5796220720250107
166.0,0.5758394770697027
167.0,0.5584192202198607
168.0,0.5760913205877161
169.0,0.5758290988061492
170.0,0.5766739471827662
171.0,0.5848259390035616
172.0,0.5887952841180197
173.0,0.5922761067753992
174.0,0.591254418649787
175.0,0.5911958535329875
176.0,0.6000893052495919
177.0,0.6123153605762963
178.0,0.6183150033481895
179.0,0.6199292708731673
180.0,0.6175142796855876
181.0,0.6180136520601717
182.0,0.6180087104671323
183.0,0.6126542876424221
184.0,0.5997732345049249
185.0,0.5881211357006474
186.0,0.5704537833460018
187.0,0.5688771055239354
188.0,0.5631908015221195
189.0,0.5724283278553742
190.0,0.5742299133185322
191.0,0.5786233009600985
192.0,0.5813247562489073
193.0,0.5864388351848236
194.0,0.5857771892979703
195.0,0.5841731941967212
196.0,0.5800953316170577
197.0,0.5773086173086881
198.0,0.57995107765641
199.0,0.5799373952733755
200.0,0.5789213203900785
201.0,0.5794605329278877
202.0,0.5813433427232728
203.0,0.5805666691421624
204.0,0.576339474388764
205.0,0.5777882439269956
206.0,0.5772217645971419
207.0,0.5788701171412358
208.0,0.5740674559294078
209.0,0.5714418950402557
210.0,0.56120082309836
211.0,0.5405191674814582
212.0,0.559096011378857
213.0,0.5750842537294212
214.0,0.5760212764735473
215.0,0.5597990563190631
216.0,0.5618851127091247
217.0,0.563758796065284
218.0,0.5530368598114048
219.0,0.5406830370489641
220.0,0.5556712225373711
221.0,0.5734079182660442
222.0,0.586617760061814
223.0,0.5893648204332425
224.0,0.5770559249805894
225.0,0.5566297000209413
226.0,0.5542797831326396
227.0,0.5584809784960475
228.0,0.5787710424744746
229.0,0.5450809689010928
230.0,0.5404883475064979
231.0,0.5078806120868823
232.0,0.5086086048373479
233.0,0.5588595359502558
234.0,0.5861496366954697
235.0,0.5828679571041434
236.0,0.5861209140512862
237.0,0.5877024600116872
238.0,0.5979592222645356
239.0,0.596430491081807
240.0,0.5912161652475201
241.0,0.571051340443097
242.0,0.562543791731758
243.0,0.5537461671980115
244.0,0.5527005817806959
245.0,0.5306774440221118
246.0,0.5317395546043592
247.0,0.5289558038527541
248.0,0.5343147531873682
249.0,0.5361248596480919
250.0,0.5580630057867858
251.0,0.5720761175676554
252.0,0.5710113756983193
253.0,0.5717230568289479
254.0,0.5814022134362856
255.0,0.5797535307392689
256.0,0.5907960031896318
257.0,0.5887462102564175
258.0,0.5856226078231244
259.0,0.5851192245980134
260.0,0.574957953934328
261.0,0.5685060086960754
262.0,0.5377057970025121
263.0,0.5254463287344444
264.0,0.5579333901800023
265.0,0.5681475242820189
266.0,0.5565874974791786
267.0,0.5656650980268717
268.0,0.5620056735530488
269.0,0.5644531865578837
270.0,0.5718695450985704
271.0,0.5649597541824284
272.0,0.5460524714239774
273.0,0.5481012858841572
274.0,0.5546971986499815
275.0,0.5789416265929418
276.0,0.6008710494024986
