station_id,lat,lon,date,label,Blue,Green,Red,NIR,SWIR1,SWIR2
03076571,48.702807141,2.204949711,2023-06-05,5.95,0.012331323698163033,0.013668226078152657,0.033459458500146866,0.0990796759724617,0.05879565700888634,0.027387380599975586
03178660,49.494454047,1.391297945,2023-06-05,2.4,0.012430637143552303,0.014108765870332718,0.03274517133831978,0.10385050624608994,0.06938391923904419,0.0321989543735981
03178520,49.489227259,1.473814241,2023-06-05,4.2,0.01303797122091055,0.012877542525529861,0.032463788986206055,0.09657777100801468,0.06269177049398422,0.0295671708881855
03180100,49.353519128,1.325227245,2023-06-05,2.5,0.006625938229262829,0.008949600160121918,0.029443664476275444,0.10044077038764954,0.05127972736954689,0.022113623097538948
03076283,48.700448911,2.118044337,2023-06-05,12.9,0.017290592193603516,0.017532506957650185,0.038397081196308136,0.09831829369068146,0.05217989906668663,0.026296216994524002
03178469,49.531003819,1.526030878,2023-06-05,23.0,0.014829419553279877,0.01544184796512127,0.034777261316776276,0.10721313208341599,0.06151147186756134,0.030755100771784782
03178348,49.538461384,1.507902968,2023-06-05,4.3,0.014826873317360878,0.015575539320707321,0.03531584516167641,0.10720039159059525,0.06012110412120819,0.02883378230035305
03125000,48.93678189,2.038835044,2023-06-05,2.6,0.01814620941877365,0.01719764620065689,0.041922684758901596,0.02057809568941593,0.01903492957353592,0.014500925317406654
03085000,48.988638724,2.082900235,2023-06-05,2.4,0.07859961688518524,0.06964875012636185,0.09465644508600235,0.10223986953496933,0.10209597647190094,0.08615884184837341
03076630,48.701050736,2.232979054,2023-06-05,3.93,0.012020653113722801,0.011577567085623741,0.033204808831214905,0.08232512325048447,0.050124894827604294,0.028279922902584076
03178835,49.489405915,1.32327277,2023-06-05,4.2,0.011530456133186817,0.01306216325610876,0.032437048852443695,0.103793203830719,0.06377656757831573,0.028781581670045853
03179000,49.444504817,1.383635171,2023-06-05,3.7,0.04934949427843094,0.04419032111763954,0.06572462618350983,0.11693941056728363,0.09407457709312439,0.061899811029434204
03179740,49.36770711,1.403547081,2023-06-05,3.0,0.011079729534685612,0.013571458868682384,0.033157702535390854,0.11071962118148804,0.06365051865577698,0.032407764345407486
03075913,48.701292073,2.012957048,2023-06-05,13.5,0.024951672181487083,0.023102931678295135,0.045390985906124115,0.08592329919338226,0.04720281437039375,0.027496881783008575
03112480,48.816895156,2.41962979,2023-06-05,2.6,0.015933319926261902,0.015327257104218006,0.04125932231545448,0.024068046361207962,0.020576825365424156,0.015529701486229897
03076387,48.731713806,2.092361181,2023-06-05,7.93,0.07041523605585098,0.06430623680353165,0.08789172768592834,0.12380217760801315,0.06565331667661667,0.04904390871524811
03178325,49.582218747,1.492656983,2023-06-05,11.0,0.021739289164543152,0.018927980214357376,0.03825193643569946,0.09002695232629776,0.06893700361251831,0.03645921126008034
03080660,48.814653807,2.410053858,2023-06-05,2.5,0.06130011007189751,0.05536554753780365,0.08024083077907562,0.07902997732162476,0.0772538110613823,0.06288020312786102
