x,y,z
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
0,13,0.002482984731216159
0,14,0.02236105388341122
0,15,0.06583844418355146
0,16,0.1262455951459706
0,17,0.1904585154802938
0,18,0.24401776901826305
0,19,0.274903567027153
0,20,0.275966786784451
0,21,0.24601595930078385
0,22,0.18956114826121187
0,23,0.11521249863920463
0,24,0.03273607966661771
0,25,-0.050919225254715525
0,26,-0.129450813815068
0,27,-0.19198518912386053
0,28,-0.2271455498202282
0,29,-0.22676025317062812
0,30,-0.18822060412112512
0,31,-0.11552098470338243
0,32,-0.01898115867947537
0,33,0.08634870176544653
0,34,0.183601367333747
0,35,0.2583226362133661
0,36,0.3040210146694324
0,37,0.328962848469955
0,38,0.35540668732178593
0,39,0.39550985851010684
0,40,0.44637639281828423
0,41,0.49677497868444065
0,42,0.5327599016586212
0,43,0.5419210071171844
0,44,0.516262960711105
0,45,0.4537160023616855
0,46,0.35827459129715733
0,47,0.23876783626817133
0,48,0.1062570534158921
0,49,-0.029931288174500043
0,50,-0.16533985007406868
0,51,-0.2935004604889543
0,52,-0.4037480017985105
0,53,-0.4855942394521723
0,54,-0.5320925115937929
0,55,-0.5418406197574326
0,56,-0.5196076993112442
0,57,-0.4755942303088921
0,58,-0.42331969921475854
0,59,-0.3761430236312374
0,60,-0.3424088094917644
0,61,-0.3192264055655197
0,62,-0.2874302198497007
0,63,-0.2289671315093548
0,64,-0.14294035658836043
0,65,-0.04010633624761969
0,66,0.06341713522167969
0,67,0.1511165882290167
0,68,0.20973825547536892
0,69,0.231620566263297
0,70,0.21571188032074243
0,71,0.16726846051639455
0,72,0.09623897169824178
0,73,0.014321350806776467
0,74,-0.06892750346090334
0,75,-0.144966697886108
0,76,-0.20240286601103266
0,77,-0.23029436353011432
0,78,-0.22153433713066284
0,79,-0.17492025298185385
0,80,-0.09590505365351935
0,81,0.003971296505141416
0,82,0.10896330777731952
0,83,0.20232630417010813
0,84,0.2708322028621381
0,85,0.31060951875842185
0,86,0.3339242204478774
0,87,0.36295544810080277
0,88,0.40605864947977643
0,89,0.45795656424954134
0,90,0.5063890049864028
0,91,0.5374303283481545
0,92,0.5394405956049103
0,93,0.5056441781862098
0,94,0.43533718062783244
0,95,0.33372961647668137
0,96,0.2104097970000904
0,97,0.07644721259806364
0,98,-0.05984725283019977
0,99,-0.19443129105023965
1,0,0.13055851595047882
1,1,0.13053583731420226
1,2,0.13041365230143395
1,3,0.13017501197674175
1,4,0.12986006713301923
1,5,0.12953569573057208
1,6,0.12927170062190352
1,7,0.12912371480054222
1,8,0.12912236814929584
1,9,0.12926923033171908
1,10,0.12953920388572984
1,11,0.12988943613854528
1,12,0.13027491291347132
1,13,0.13292248072822546
1,14,0.15116144801257433
1,15,0.18992182778293235
1,16,0.24226952406898683
1,17,0.29559341384771687
1,18,0.33648814149221973
1,19,0.3542929295444647
1,20,0.34328662024688616
1,21,0.3035386905109214
1,22,0.24041675496628173
1,23,0.16274920186231423
1,24,0.0796449689322289
1,25,-0.0036905963807529942
1,26,-0.08323140141020488
1,27,-0.14959995013932423
1,28,-0.19200246400035864
1,29,-0.20210039270178295
1,30,-0.176544434468534
1,31,-0.1182039428559872
1,32,-0.03609126553566186
1,33,0.05601766402828817
1,34,0.1422684976999694
1,35,0.20871697918682747
1,36,0.248624002472587
1,37,0.2690498370296894
1,38,0.2921433105092944
1,39,0.3316840446560397
1,40,0.38556611708769434
1,41,0.44250874181952043
1,42,0.48786601437261923
1,43,0.5080789236396577
1,44,0.49377021377093433
1,45,0.44148305674919147
1,46,0.35406113398215855
1,47,0.23967323193035267
1,48,0.1094785348287037
1,49,-0.026070882931407444
1,50,-0.1618883400426245
1,51,-0.2932962155241218
1,52,-0.4106736318785036
1,53,-0.5035734574391071
1,54,-0.5643224905588745
1,55,-0.5902673307934496
1,56,-0.5846494105798418
1,57,-0.5561214359328233
1,58,-0.5168963499763114
1,59,-0.47953664189532097
1,60,-0.452376041484559
1,61,-0.43358022104373894
1,62,-0.40530380428050206
1,63,-0.3481998901853839
1,64,-0.26029229807521526
1,65,-0.15217412974984912
1,66,-0.040497341154573034
1,67,0.05721100717879095
1,68,0.12642316440776982
1,69,0.15816068930910498
1,70,0.15023206994985244
1,71,0.10714702691921367
1,72,0.03872120680066248
1,73,-0.042649624364744426
1,74,-0.12612133440325565
1,75,-0.20379463436286055
1,76,-0.26520855294768586
1,77,-0.2995651944396718
1,78,-0.29928371859698977
1,79,-0.2622524218721856
1,80,-0.19276765353978034
1,81,-0.10116078472362731
1,82,-0.0021175495792382913
1,83,0.08832014772576222
1,84,0.15705552608305043
1,85,0.19955655991998214
1,86,0.22663799096129153
1,87,0.2608249372414411
1,88,0.31178400450277716
1,89,0.3746282211043903
1,90,0.4367115540196116
1,91,0.4831466622135997
1,92,0.5009710067298048
1,93,0.4819516936464651
1,94,0.42403354445888847
1,95,0.33143437379948226
1,96,0.21337613517739434
1,97,0.08146681652064622
1,98,-0.05426190956839921
1,99,-0.187406900827248
2,0,0.2317392259661146
2,1,0.23158033827383517
2,2,0.2307242626413778
2,3,0.22905175610296466
2,4,0.22684302504659964
2,5,0.22456581205678833
2,6,0.2227089258037758
2,7,0.22166162569433304
2,8,0.22163894705805648
2,9,0.22265258946373634
2,10,0.22452777988082379
2,11,0.22696576759013876
2,12,0.22965207092736828
2,13,0.23437511136687153
2,14,0.25251006056418346
2,15,0.2874279897266175
2,16,0.3318715465429555
2,17,0.3738572503997453
2,18,0.4012687911217428
2,19,0.4051071417341523
2,20,0.3813961986371962
2,21,0.33174511571893267
2,22,0.2625668006077409
2,23,0.18295221281382193
2,24,0.10120090978433144
2,25,0.020455008426858632
2,26,-0.057132382474014476
2,27,-0.12324866139544485
2,28,-0.16791987946898865
2,29,-0.18324344973369106
2,30,-0.16583740768871696
2,31,-0.11806359949488399
2,32,-0.0480239679619894
2,33,0.03166847257102338
2,34,0.10634681586998972
2,35,0.1629715794432922
2,36,0.19504098954638552
2,37,0.2087856669777891
2,38,0.22631868880016034
2,39,0.2632032948904707
2,40,0.31853647410275854
2,41,0.3814353458747023
2,42,0.4368685203750809
2,43,0.4702078654904892
2,44,0.4705009379732037
2,45,0.43246612017055874
2,46,0.35720694560327887
2,47,0.251649747697868
2,48,0.12669885908522854
2,49,-0.005905535327815886
2,50,-0.14021847421055786
2,51,-0.27406512652184567
2,52,-0.39941384336033336
2,53,-0.5060387384240015
2,54,-0.5853699805028071
2,55,-0.6330292890311122
2,56,-0.6500332570389836
2,57,-0.6426783111106873
2,58,-0.621097444344432
2,59,-0.5964951382059257
2,60,-0.5770564933637782
2,61,-0.5625327310106655
2,62,-0.5374828563241597
2,63,-0.48163076178000397
2,64,-0.3919823184363195
2,65,-0.27897235797322584
2,66,-0.1597484683251506
2,67,-0.05278287049614933
2,68,0.02620781677741235
2,69,0.06701680262241463
2,70,0.06638880425089205
2,71,0.02814038997690908
2,72,-0.03803408443524646
2,73,-0.11908171072412664
2,74,-0.20282763583920485
2,75,-0.2812362588437099
2,76,-0.34428399990885183
2,77,-0.38140810406350173
2,78,-0.3850128407055527
2,79,-0.35271523754667217
2,80,-0.28831645360815966
2,81,-0.2015002837348947
2,82,-0.10626262872360004
2,83,-0.018062948386962277
2,84,0.050289580023069984
2,85,0.094028036250983
2,86,0.12312786592090529
2,87,0.1607254166287158
2,88,0.21801576901358705
2,89,0.29091959050917987
2,90,0.3668139041305467
2,91,0.4300985528862931
