GLORIA_ID,lat,lon,label,Date_Time_UTC,Water_body_type,Country,Bleu,Vert,Rouge,NIR
GID_314,-21.7607222222,-48.9815277778,45.4,2014-02-06T12:10,1,Brazil,0.0072267642798493,0.0217418554893609,0.0084184751896545,0.0075234293454626
GID_315,-21.8136944444,-48.991,22.1,2014-02-06T14:45,1,Brazil,0.006537422428446,0.018263115781948,0.0069572837174543,0.0046961233549413
GID_316,-21.8509444444,-48.9411388889,10.1,2014-02-06T16:10,1,Brazil,0.0062324523408394,0.0152094990956928,0.0064662076025119,0.0014234765128036
GID_317,-21.9105277778,-48.8918055556,4.5,2014-02-06T17:55,1,Brazil,0.005217650613265,0.0101214024622305,0.0051308641241117,0.0011063658500955
GID_318,-21.7607222222,-48.9815277778,4.7,2014-03-26T13:00,1,Brazil,0.0041816480519564,0.0062622679630096,0.0040601508534501,0.0011504086761975
GID_319,-21.8136944444,-48.991,5.9,2014-03-26T14:17,1,Brazil,0.0040732271090467,0.0072325006134628,0.0046450768947971,0.0011003433500917
GID_320,-21.8509444444,-48.9411388889,10.4,2014-03-26T15:40,1,Brazil,0.0039146591262019,0.0075670441112862,0.0047614384923497,0.0015909712286706
GID_321,-21.9105277778,-48.8918055556,12.0,2014-03-26T16:50,1,Brazil,0.0067853711247463,0.0116515431098489,0.0089620319280299,0.0023908459299188
GID_322,-21.7607222222,-48.9815277778,1.0,2014-05-13T12:30,1,Brazil,0.0025793141559942,0.0038587406674851,0.0022968515900783,0.0006269917072283
GID_323,-21.8136944444,-48.991,8.3,2014-05-13T13:50,1,Brazil,0.0048044757349656,0.0090426198306573,0.0044298452976912,0.0020148269047049
GID_324,-21.8509444444,-48.9411388889,10.1,2014-05-13T15:10,1,Brazil,0.0060177281174238,0.008790014878998,0.0053246394177036,0.0030853756964068
GID_325,-21.9105277778,-48.8918055556,4.5,2014-05-13T16:15,1,Brazil,0.008183409625285,0.0124291150555794,0.0077224981241958,0.0041297633517239
GID_326,-21.7607222222,-48.9815277778,6.1,2014-07-16T12:33,1,Brazil,0.0029978380104135,0.0096231065680406,0.0043204603597803,0.0013604608468735
GID_327,-21.8136944444,-48.991,12.9,2014-07-16T13:30,1,Brazil,0.0036909968241539,0.0099152567629304,0.0043099601778787,0.001257596073677
GID_328,-21.8509444444,-48.9411388889,5.8,2014-07-16T14:27,1,Brazil,0.0036529610480545,0.0085645069325829,0.0042439257211786,0.0012090573260978
GID_329,-21.9105277778,-48.8918055556,4.5,2014-07-16T15:30,1,Brazil,0.0042059733462555,0.0100276050002816,0.0042338809631852,0.0008282193416274
GID_330,-21.7607222222,-48.9815277778,50.6,2014-09-18T12:42,1,Brazil,0.0072267642798493,0.0217418554893609,0.0084184751896545,0.0075234293454626
